Complexity,Fitness,Equation 0,Equation 1,Equation 2,Equation 3,Equation 4
13,1.5093057,y0,-0.184*a0**2 + 0.379*y0,rpe,a1,a0
17,1.4636854,rpe*y0,-0.493,3*a0 + 0.263*rpe - 0.957,a0,0.406
19,1.3556025,rpe*y0,a0*rpe,4*a0 + 0.966,a0 - a1,a0
21,1.1122451,-0.682,rpe*(a1 + y0),4*a1 + rpe + 0.782,a1*rpe,a1
23,1.0764675,a1*(a0 + y0),a1 + y0 + 0.214,rpe**2*(-a1 + rpe + 1.07),-0.930,-0.165*a1
25,1.0760467,a1*(a0 + y0),a1 + y0 + 0.214,rpe**2*(-a1 + rpe + 1.07),y0 - 2.21,a1 - 0.165
27,1.0758985,a0 + a1,a1 + y0 + 0.214,rpe**2*(-a1 + rpe + 1.07),y0*(a1 + rpe) - 2.21,a0*rpe
29,1.0006826,a1 - y0,rpe*(2*a0 + 2*y0),2*a0 + 1.81*a1 + rpe + 0.782,a1*y0,-a0 + y0
35,0.99566555,a1 - y0,rpe*(2*a0 + 2*y0),2*a0 + 1.81*a1 + rpe,a1*(0.81*rpe + y0 - 0.19),a0 + y0
45,0.9508962,a1 - y0,rpe*(a0 + a1 + 3*y0),2*a0 + 1.81*a1 + rpe,a1*(rpe*(-y0 - 0.19) + rpe + y0 - 0.19),-a0
51,0.9216939,a1 - y0,rpe*(2*a0 + 2*y0),3*a0 + 2.81*a1 + rpe,a1*(-0.19*a1*rpe - 0.19),a0 - a1 + y0
