Complexity,Fitness,Equation 0,Equation 1,Equation 2
5,1.9301772,a1,y0,-a0 - 0.956
7,1.7633009,rpe*y0,a1,-0.313*rpe
9,1.6972129,0.102*y0,a1**2,rpe - 0.776
11,1.5126095,y0,y0,-0.956*a0*rpe - a0 - 0.829
13,1.4059415,-0.17*y0,rpe*y0,1.0*a1 + rpe - 0.878
13,1.4059415,rpe*y0,rpe*y0,1.0*a1 + rpe - 0.878
15,1.3676183,y0,-0.269*a0 + rpe*y0,1.44*a1 + 1.44*rpe - 1.86
17,1.1659758,y0*(a1 + rpe),-1.18,a0*rpe + a0 - 0.747
21,1.1557875,0.102*y0*(-a1 + 2*rpe),1.54,a0*rpe + a0 - 0.747
23,1.1387227,0.102*a1*y0*(-a1 + 2*rpe),1.54,a0*rpe + a0 - 0.747
27,1.1294315,a0,-0.791*a1 + rpe*y0 - 0.269*rpe - 0.269*y0,a0 + 1.0*a1*rpe + a1 - 0.878
29,1.1090654,a0,0.232*a0 - 0.791*a1 + rpe*y0 - 0.269*y0,a1*rpe + 1.0*a1 - 0.75
29,1.1090654,a0,a0**2 - 0.791*a1 + rpe*y0 - 0.269*y0,a1*rpe + 1.0*a1 - 0.75
29,1.1090654,a0,a0*rpe - 0.791*a1 + rpe*y0 - 0.269*y0,a1*rpe + 1.0*a1 - 0.75
29,1.1090654,2*a0,a0 - 0.791*a1 + rpe*y0 - 0.269*y0,a1*rpe + 1.0*a1 - 0.75
31,1.0985867,0.102*a1**2*y0*(-a1 + 2*rpe),a1 + 0.641,a0*rpe + a0 - 0.747
