Complexity,Fitness,Equation 0,Equation 1,Equation 2,Equation 3,Equation 4
9,34.385036,y1,2.59 - y1,-0.958,rpe,2*y0
11,27.61672,a0*a1,0.517,rpe*(a0 + a1),y1,-1.18
13,1.7819155,y0*(rpe + 0.323),a0,-0.0348*rpe,a0*y1,-0.298
17,1.7363201,a0*a1,y0,-0.0438*a0*a1**2*rpe,rpe + y0,y0
19,1.7063189,y1,0.436*a1 - y1,0.0418*a0*rpe,a1 + y1,rpe - y0
21,1.6757343,y0*(rpe + 0.323),a0 - 1.63,-0.0348*a0*(rpe - 1.18),a0*y1,-0.298*y0
23,1.5816761,-0.625*a0 - 0.625*y1,a1*y1,-a0*(rpe - 0.963) + 0.000405,2*a1,y0*(y0 + 1.51)
25,1.5291457,a0*a1 + y1,y1*(a0*a1 - y1),a0*(a1 + rpe),2*a1 - rpe + 0.444,a0
27,1.4736359,0.528*a1*(a0 + 0.226*rpe) + 2*y1,y1*(a1 - y1),a0*rpe,a1,2*rpe + y0
29,1.4490461,a0*a1*y1**2 + y1,-0.327,3*a0*rpe,3*a1 + rpe,a1*(rpe + 0.762)
31,1.3890464,0.528*a1*(a0*y1 + a0) + y1,y1*(-y1 - 0.327),3*a0*rpe,a1*(a1 + rpe) - rpe,rpe
33,1.0708594,0.39*a1*y1 + 0.39*rpe*y1 - 1.25*y1,rpe*y0 - y0*y1,-a0*(rpe - 1.93) + a1,a1,y0
35,1.0218045,0.39*a1*y1 + 0.39*rpe*y1 - 1.25*y1,rpe*y0,-a0*(2*rpe - 2.03) + a1,y0,2*y0
37,0.96431303,0.39*a1*y1 + 0.39*rpe*y1 - 1.25*y1,rpe*(y0 - 0.0614),-a0*(3*rpe - 2.89) + a1,a1,y0
39,0.95613396,0.39*a1*y1 + 0.39*rpe*y1 - 1.25*y1,rpe*(y0 + y1 - 0.0614),-a0*(3*rpe - 2.89) + a1,a1,y1
41,0.9528549,0.39*a1*y1 + 0.39*rpe*y1 - 1.25*y1,rpe*(y0 - 0.184),-a0*(3*rpe - 2.89) + a1,a1,y0
43,0.95135885,0.39*a1*y1 + 0.39*rpe*y1 - 1.25*y1,rpe*(2*y0 - 0.184),-a0*(3*rpe - 2.89) + a1,a1,y0
45,0.9401712,0.39*a1*y1 + 0.39*rpe*y1 - 1.25*y1,rpe*(2*y0 - 0.246),-a0*(3*rpe - 2.89) + a1,a1,y0
51,0.92860067,0.39*a1*y1 + 0.39*rpe*y1 - 1.25*y1,-a0*a1*y1 - a0*rpe + a1 + rpe*y0,-a0*(3*rpe - 2.89) + a1,a0*rpe**2,rpe
