,program,seed,process_noise,fitness
0,GP-ODE,0,0.0,-0.08049287647008896
1,GP-ODE,0,0.05,-0.07875937968492508
2,GP-ODE,0,0.1,-0.07870969921350479
3,GP-ODE,0,0.2,-0.0840667113661766
4,GP-ODE,0,0.3,-0.09419847279787064
5,GP-ODE,0,0.5,-0.1565990447998047
6,GP-ODE,1,0.0,-0.3041370213031769
7,GP-ODE,1,0.05,-0.4526439309120178
8,GP-ODE,1,0.1,-0.15751999616622925
9,GP-ODE,1,0.2,-0.2444777488708496
10,GP-ODE,1,0.3,-0.2018522173166275
11,GP-ODE,1,0.5,-0.27953436970710754
12,GP-ODE,2,0.0,-0.1964224874973297
13,GP-ODE,2,0.05,-0.19598032534122467
14,GP-ODE,2,0.1,-0.2014252096414566
15,GP-ODE,2,0.2,-0.2397938370704651
16,GP-ODE,2,0.3,-0.23159724473953247
17,GP-ODE,2,0.5,-0.20009155571460724
18,GP-ODE,3,0.0,-0.09157580882310867
19,GP-ODE,3,0.05,-0.09071605652570724
20,GP-ODE,3,0.1,-0.09134530276060104
21,GP-ODE,3,0.2,-0.100055992603302
22,GP-ODE,3,0.3,-0.11903771758079529
23,GP-ODE,3,0.5,-0.17985501885414124
24,GP-ODE,4,0.0,-0.20057173073291779
25,GP-ODE,4,0.05,-0.21805095672607422
26,GP-ODE,4,0.1,-0.16235700249671936
27,GP-ODE,4,0.2,-0.15062876045703888
28,GP-ODE,4,0.3,-0.19732387363910675
29,GP-ODE,4,0.5,-0.35223817825317383
30,GP-ODE,5,0.0,-0.12932102382183075
31,GP-ODE,5,0.05,-0.13379429280757904
32,GP-ODE,5,0.1,-0.14267367124557495
33,GP-ODE,5,0.2,-0.19389788806438446
34,GP-ODE,5,0.3,-0.1807895451784134
35,GP-ODE,5,0.5,-0.28865429759025574
36,GP-ODE,6,0.0,-0.078045554459095
37,GP-ODE,6,0.05,-0.07977411150932312
38,GP-ODE,6,0.1,-0.07509340345859528
39,GP-ODE,6,0.2,-0.08179221302270889
40,GP-ODE,6,0.3,-0.10263105481863022
41,GP-ODE,6,0.5,-0.1584983468055725
42,GP-ODE,7,0.0,-0.10282205790281296
43,GP-ODE,7,0.05,-0.1040010154247284
44,GP-ODE,7,0.1,-0.09477797150611877
45,GP-ODE,7,0.2,-0.08058908581733704
46,GP-ODE,7,0.3,-0.08181871473789215
47,GP-ODE,7,0.5,-0.11765944212675095
48,GP-ODE,8,0.0,-0.10454370826482773
49,GP-ODE,8,0.05,-0.10665169358253479
50,GP-ODE,8,0.1,-0.1159636378288269
51,GP-ODE,8,0.2,-0.1548650860786438
52,GP-ODE,8,0.3,-0.08239535987377167
53,GP-ODE,8,0.5,-0.13496272265911102
54,GP-ODE,9,0.0,-0.13503342866897583
55,GP-ODE,9,0.05,-0.13423821330070496
56,GP-ODE,9,0.1,-0.13946418464183807
57,GP-ODE,9,0.2,-0.16895191371440887
58,GP-ODE,9,0.3,-0.22342024743556976
59,GP-ODE,9,0.5,-0.32314449548721313
60,GP-SDE,0,0.0,-0.16066065430641174
61,GP-SDE,0,0.05,-0.1573493331670761
62,GP-SDE,0,0.1,-0.16005316376686096
63,GP-SDE,0,0.2,-0.18090473115444183
64,GP-SDE,0,0.3,-0.21406178176403046
65,GP-SDE,0,0.5,-0.29432064294815063
66,GP-SDE,1,0.0,-0.16980431973934174
67,GP-SDE,1,0.05,-0.22002077102661133
68,GP-SDE,1,0.1,-0.22420567274093628
69,GP-SDE,1,0.2,-0.272068589925766
70,GP-SDE,1,0.3,-0.14873096346855164
71,GP-SDE,1,0.5,-0.15943248569965363
72,GP-SDE,2,0.0,-0.3706759512424469
73,GP-SDE,2,0.05,-0.378101110458374
