Complexity,Fitness,Equation 0,Equation 1,Equation 2
3,2.0240543,y0,y0,-0.00811
7,1.9663098,0.726 - y0,y0,0.0167*a0
9,1.9443694,a0*y0,a0,0.0167*rpe - 0.00342
11,1.794359,rpe,rpe*y0,-0.0877*a0*a1
13,1.7678535,a0,-2.14*rpe*y0 + rpe,-0.105*a1
15,1.6856899,rpe*y0 + y0**2,y0,-0.0928*a0*rpe
17,1.6545706,y0,-2.14*rpe*y0,-0.0337*a1*(3.39 - 1.07*rpe)
19,1.6084737,rpe,-0.553*rpe*(a0 + y0),-0.0337*a1*(3.39 - 1.07*rpe)
23,1.5872494,rpe,-2.14*rpe*y0 - 2.14,-0.0337*a1*rpe**2*(a0*rpe + 3.39)
25,1.5643033,a1,-2.14*rpe*y0 - 4.28,-0.0337*a1*rpe**2*(3.39 - 1.09*rpe)
25,1.5643033,a1,-2.14*rpe*y0 - 4.28,-0.0337*a1*rpe**2*(3.39 - 1.09*rpe)
25,1.5643033,rpe,-2.14*rpe*y0 - 4.28,-0.0337*a1*rpe**2*(3.39 - 1.09*rpe)
25,1.5643033,rpe,-2.14*rpe*y0 - 4.28,-0.0337*a1*rpe**2*(3.39 - 1.09*rpe)
25,1.5643033,rpe,-2.14*rpe*y0 - 4.28,-0.0337*a1*rpe**2*(3.39 - 1.09*rpe)
29,1.517173,rpe*y0 + rpe,-2.14*rpe*y0 - 3.94,-0.0337*a1*rpe**2*(a0*rpe + 3.39)
31,1.514273,rpe*y0 + 2*rpe,-2.14*rpe*y0 - 3.94,-0.0337*a1*rpe**2*(a0*rpe + 3.39)
33,1.50721,rpe*y0 + 3*rpe,-2.14*rpe*y0 - 3.94,-0.0337*a1*rpe**2*(a0*rpe + 3.39)
39,1.4970477,a0 + a1*rpe - 1.3,-4.28*rpe*y0 - 2.14,-0.0337*a1*rpe**2*(a0*rpe + 3.39)
41,1.4948425,a0 + 2*a1*rpe + rpe - 1.3,-4.28*rpe*y0 - 2.14,-0.0337*a1*rpe**2*(a0*rpe + 3.39)
