Complexity,Fitness,Equation 0,Equation 1,Equation 2
3,2.1553347,-2.87,-2.48,tar
3,2.1553347,-2.02,0.342,tar
3,2.1553347,-2.02,y0,tar
3,2.1553347,-2.02,tar,tar
3,2.1553347,-2.00,1.11,tar
3,2.1553347,-1.99,-0.465,tar
3,2.1553347,-1.58,u0,tar
3,2.1553347,-1.54,0.621,tar
3,2.1553347,-1.54,a1,tar
3,2.1553347,-1.51,u0,tar
3,2.1553347,-1.26,-2.48,tar
3,2.1553347,-0.876,tar,tar
3,2.1553347,-0.826,y0,tar
3,2.1553347,-0.823,-2.48,tar
3,2.1553347,-0.692,-0.239,tar
3,2.1553347,-0.692,u0,tar
3,2.1553347,-0.463,3.05,tar
3,2.1553347,-0.339,0.462,tar
3,2.1553347,-0.194,2.05,tar
3,2.1553347,-0.0647,1.19,tar
3,2.1553347,-0.0274,-3.73,tar
3,2.1553347,-0.0151,tar,tar
3,2.1553347,-0.0119,y0,tar
3,2.1553347,0.00605,-0.0881,tar
3,2.1553347,0.0452,-0.0532,tar
3,2.1553347,0.207,y1,tar
3,2.1553347,0.234,-0.798,tar
3,2.1553347,0.234,y0,tar
3,2.1553347,0.234,u0,tar
3,2.1553347,0.234,tar,tar
3,2.1553347,0.439,-0.835,tar
3,2.1553347,0.439,-0.508,tar
3,2.1553347,0.439,y0,tar
3,2.1553347,0.848,-2.48,tar
3,2.1553347,0.848,0.210,tar
3,2.1553347,0.957,-0.0644,tar
3,2.1553347,1.62,y0,tar
3,2.1553347,1.66,-0.685,tar
3,2.1553347,1.66,0.621,tar
3,2.1553347,1.86,2.07,tar
3,2.1553347,1.88,-1.51,tar
3,2.1553347,1.88,-0.657,tar
3,2.1553347,1.88,tar,tar
3,2.1553347,1.91,-1.41,tar
3,2.1553347,1.97,2.28,tar
3,2.1553347,3.39,0.262,tar
3,2.1553347,y0,-1.39,tar
3,2.1553347,y0,y1,tar
3,2.1553347,y1,u0,tar
3,2.1553347,a0,-1.04,tar
3,2.1553347,a0,-0.224,tar
3,2.1553347,a0,0.644,tar
3,2.1553347,a0,0.728,tar
3,2.1553347,a0,y0,tar
3,2.1553347,a0,a1,tar
3,2.1553347,a0,tar,tar
3,2.1553347,a1,0.480,tar
3,2.1553347,a1,u0,tar
3,2.1553347,u0,-2.63,tar
3,2.1553347,u0,u0,tar
3,2.1553347,tar,-2.48,tar
3,2.1553347,tar,-0.567,tar
3,2.1553347,tar,-0.0544,tar
3,2.1553347,tar,2.22,tar
3,2.1553347,tar,y0,tar
3,2.1553347,tar,u0,tar
5,1.6468637,y1,tar - u0,a1
7,1.3909936,-1.74,tar - u0,0.365*a1
9,1.3778086,0.494,tar - u0,0.365*a1 + 0.186
11,0.15944673,-1.37*a0 + y1,a0*a1,-a0 + tar
11,0.15944673,-1.37*a0 + a1 + y1,a1,-a0 + tar
13,0.15934882,-1.38*a0 + y1,a1,-a0 + tar
13,0.15934882,-1.38*a0 + y1,a1,-a0 + tar
15,0.14731295,-2.74*a0 + y1,a0,-2*a0 + tar
15,0.14731295,-2.74*a0 + y1,a1,-2*a0 + tar
15,0.14731295,-2.74*a0 + y1,-1.12,-2*a0 + tar
15,0.14731295,-2.74*a0 + y1,-0.471,-2*a0 + tar
15,0.14731295,-2.74*a0 + y1,1.95,-2*a0 + tar
15,0.14731295,-2.74*a0 + y1,a0,-2*a0 + tar
15,0.14731295,-2.74*a0 + y1,a1,-2*a0 + tar
15,0.14731295,-2.74*a0 + y1,tar,-2*a0 + tar
15,0.14731295,-2.74*a0 + 2*y1,-2.17,-a0 + tar
15,0.14731295,-2.74*a0 + 2*y1,-1.12,-a0 + tar
15,0.14731295,-2.74*a0 + 2*y1,-0.603,-a0 + tar
15,0.14731295,-2.74*a0 + 2*y1,1.95,-a0 + tar
15,0.14731295,-2.74*a0 + 2*y1,2.44,-a0 + tar
15,0.14731295,-2.74*a0 + 2*y1,a0,-a0 + tar
15,0.14731295,-2.74*a0 + 2*y1,a1,-a0 + tar
15,0.14731295,-2.74*a0 + 2*y1,a0,-a0 + tar
