Complexity,Fitness,Equation 0,Equation 1,Equation 2
3,3.4554226,-1.95,-0.614,e
3,3.4554226,-1.54,-0.102,e
3,3.4554226,-1.38,-4.85,e
3,3.4554226,-0.554,-2.31,e
3,3.4554226,-0.244,0.254,e
3,3.4554226,-0.0768,u0,e
3,3.4554226,0.0452,-0.0532,e
3,3.4554226,0.0641,u0,e
3,3.4554226,0.0715,a1,e
3,3.4554226,0.256,u0,e
3,3.4554226,0.625,y1,e
3,3.4554226,1.11,-1.69,e
3,3.4554226,y0,-4.85,e
3,3.4554226,y0,-0.611,e
3,3.4554226,y0,-0.132,e
3,3.4554226,y0,0.0316,e
3,3.4554226,y0,0.0692,e
3,3.4554226,y0,0.336,e
3,3.4554226,y0,0.363,e
3,3.4554226,y0,1.34,e
3,3.4554226,y0,y0,e
3,3.4554226,y0,a1,e
3,3.4554226,y0,e,e
3,3.4554226,y1,u0,e
3,3.4554226,a0,-1.79,e
3,3.4554226,a0,-1.69,e
3,3.4554226,a0,-0.954,e
3,3.4554226,a0,0.173,e
3,3.4554226,a0,1.57,e
3,3.4554226,a0,y1,e
3,3.4554226,a0,a0,e
3,3.4554226,a0,e,e
3,3.4554226,u0,-0.537,e
3,3.4554226,u0,0.109,e
3,3.4554226,u0,a1,e
3,3.4554226,e,y1,e
5,2.7780058,u0,u0,0.522*e
7,0.21393295,-a0 + y0,-4.85,a0 + e
7,0.21393295,-a0 + y0,-0.917,a0 + e
7,0.21393295,-a0 + y0,-0.537,a0 + e
7,0.21393295,-a0 + y0,-0.317,a0 + e
7,0.21393295,-a0 + y0,-0.132,a0 + e
7,0.21393295,-a0 + y0,-0.0947,a0 + e
7,0.21393295,-a0 + y0,0.143,a0 + e
7,0.21393295,-a0 + y0,0.690,a0 + e
7,0.21393295,-a0 + y0,0.798,a0 + e
7,0.21393295,-a0 + y0,1.19,a0 + e
7,0.21393295,-a0 + y0,2.01,a0 + e
7,0.21393295,-a0 + y0,y0,a0 + e
7,0.21393295,-a0 + y0,y1,a0 + e
7,0.21393295,-a0 + y0,y1,a0 + e
7,0.21393295,-a0 + y0,a0,a0 + e
7,0.21393295,-a0 + y0,a1,a0 + e
7,0.21393295,-a0 + y0,u0,a0 + e
7,0.21393295,-a0 + y0,e,a0 + e
9,0.21392801,-a0 + y0,y1,a0 + e + 0.00394
11,0.17785685,-a0 + y0,-2.21,a0 + 0.556*e
11,0.17785685,-a0 + y0,-1.35,a0 + 0.556*e
11,0.17785685,-a0 + y0,-1.28,a0 + 0.556*e
11,0.17785685,-a0 + y0,-1.01,a0 + 0.556*e
11,0.17785685,-a0 + y0,-0.801,a0 + 0.556*e
11,0.17785685,-a0 + y0,-0.761,a0 + 0.556*e
11,0.17785685,-a0 + y0,-0.558,a0 + 0.556*e
11,0.17785685,-a0 + y0,-0.553,a0 + 0.556*e
11,0.17785685,-a0 + y0,-0.413,a0 + 0.556*e
11,0.17785685,-a0 + y0,-0.390,a0 + 0.556*e
11,0.17785685,-a0 + y0,-0.0279,a0 + 0.556*e
11,0.17785685,-a0 + y0,0.0834,a0 + 0.556*e
11,0.17785685,-a0 + y0,0.297,a0 + 0.556*e
11,0.17785685,-a0 + y0,0.336,a0 + 0.556*e
11,0.17785685,-a0 + y0,0.507,a0 + 0.556*e
11,0.17785685,-a0 + y0,y0,a0 + 0.556*e
11,0.17785685,-a0 + y0,y1,a0 + 0.556*e
11,0.17785685,-a0 + y0,a1,a0 + 0.556*e
11,0.17785685,-a0 + y0,u0,a0 + 0.556*e
11,0.17785685,-a0 + y0,e,a0 + 0.556*e
13,0.17785217,-a0 + y0,-0.761,a0 + 0.556*e - 0.000377
13,0.17785217,-a0 + y0,-0.372,a0 + 0.556*e - 0.000377
13,0.17785217,-a0 + y0,0.641,a0 + 0.556*e - 0.000377
13,0.17785217,-a0 + y0,1.10,a0 + 0.556*e - 0.000377
13,0.17785217,-a0 + y0,1.14,a0 + 0.556*e - 0.000377
13,0.17785217,-a0 + y0,y1,a0 + 0.556*e - 0.000377
13,0.17785217,-a0 + y0,a1,a0 + 0.556*e - 0.000377
15,0.1778157,-a0 + y0 - 0.129,-1.20,a0 + 0.556*e + 0.125
15,0.1778157,-a0 + y0 - 0.129,0.102,a0 + 0.556*e + 0.125
17,0.17691867,-a0 + y0 - 0.129,0.462,a0 + 0.575*e + 0.124
