Complexity,Fitness,Equation 0,Equation 1,Equation 2
3,3.9841876,-2.53,-2.17,0.0796
3,3.9841876,-1.34,0.229,0.0796
3,3.9841876,-1.08,u0,0.0796
3,3.9841876,-0.972,y0,0.0796
3,3.9841876,-0.342,a1,0.0796
3,3.9841876,-0.199,1.70,0.0796
3,3.9841876,-0.0688,a1,0.0796
3,3.9841876,-0.0421,u0,0.0796
3,3.9841876,0.308,-0.811,0.0796
3,3.9841876,0.426,u0,0.0796
3,3.9841876,0.612,y0,0.0796
3,3.9841876,0.645,0.0828,0.0796
3,3.9841876,0.988,y0,0.0796
3,3.9841876,2.43,u0,0.0796
3,3.9841876,y0,a0,0.0796
3,3.9841876,y0,a1,0.0796
3,3.9841876,a0,-0.804,0.0796
3,3.9841876,a0,0.462,0.0796
3,3.9841876,a0,y0,0.0796
3,3.9841876,a0,y1,0.0796
3,3.9841876,a0,a0,0.0796
3,3.9841876,a0,a1,0.0796
3,3.9841876,e,1.15,0.0796
5,3.6498811,-a0 + y0,-0.0514,a0
5,3.6498811,-a0 + y0,0.170,a0
5,3.6498811,-a0 + y0,0.899,a0
5,3.6498811,-a0 + y0,a1,a0
5,3.6498811,-a0 + y0,u0,a0
7,2.8501885,-1.37*a0 - y1,-1.11,a0
9,2.849909,-1.37*a0 - y1,0.378,1.13*a0
11,2.843935,-2*a0 - 1.53*y1,0.00645,a0
11,2.843935,-2*a0 - 1.53*y1,0.534,a0
13,2.8275776,-1.53*a0 - 0.532*u0*y1 - y1,0.103,a0
13,2.8275776,-a0 - 0.532*u0*y1 - 0.532*u0 - y1,0.103,a0
15,2.8016078,-2*a0 - y0*y1 + y0 - 2*y1,-1.36,a0
15,2.8016078,-2*a0 - y0*y1 + y0 - 2*y1,-0.586,a0
15,2.8016078,-2*a0 - y0*y1 + y0 - 2*y1,-0.147,a0
15,2.8016078,-2*a0 - y0*y1 + y0 - 2*y1,a1,a0
15,2.8016078,-2*a0 - y0*y1 + y0 - 2*y1,u0,a0
17,2.7924113,-0.491*a0**3 - 2.37*y1,u0,a0
21,2.6915944,1.52*u0 + 0.524*y1*(a1 + u0) + y1,y0 + 0.181,6.1e-6 - a0
23,2.6091576,-0.491*a0*y1 - 2*a0 - 0.491*y0*y1 - y1,0.304*a0,a0 + a1 - 0.617
25,2.4583015,-1.37*a0 - y1 + 1.69,-0.135*e*u0*y0,2.27*a0 + 0.326*a1
