Complexity,Fitness,Equation 0,Equation 1,Equation 2
3,0.39561698,-4.09,1.74,tar
3,0.39561698,-2.78,y0,tar
3,0.39561698,-2.78,y1,tar
3,0.39561698,-1.89,u0,tar
3,0.39561698,-1.69,0.899,tar
3,0.39561698,-1.68,-1.72,tar
3,0.39561698,-1.41,-0.0791,tar
3,0.39561698,-1.40,a0,tar
3,0.39561698,-1.38,-11.9,tar
3,0.39561698,-1.38,y0,tar
3,0.39561698,-1.31,1.96,tar
3,0.39561698,-1.01,0.445,tar
3,0.39561698,-0.804,1.48,tar
3,0.39561698,-0.787,y1,tar
3,0.39561698,-0.742,0.0493,tar
3,0.39561698,-0.694,-0.657,tar
3,0.39561698,-0.675,-1.46,tar
3,0.39561698,-0.582,-0.798,tar
3,0.39561698,-0.559,0.726,tar
3,0.39561698,-0.504,0.109,tar
3,0.39561698,-0.368,a1,tar
3,0.39561698,-0.253,a1,tar
3,0.39561698,-0.176,1.94,tar
3,0.39561698,-0.157,-0.365,tar
3,0.39561698,-0.157,y1,tar
3,0.39561698,-0.157,u0,tar
3,0.39561698,-0.0888,-1.54,tar
3,0.39561698,-0.0498,y0,tar
3,0.39561698,-0.0278,0.109,tar
3,0.39561698,-0.0151,-0.657,tar
3,0.39561698,-0.00623,0.529,tar
3,0.39561698,-0.00483,y0,tar
3,0.39561698,-0.00483,a0,tar
3,0.39561698,2.33e-5,y0,tar
3,0.39561698,0.0182,-11.9,tar
3,0.39561698,0.0452,-0.0532,tar
3,0.39561698,0.0477,a1,tar
3,0.39561698,0.114,-0.431,tar
3,0.39561698,0.175,-0.540,tar
3,0.39561698,0.233,a1,tar
3,0.39561698,0.258,-2.13,tar
3,0.39561698,0.258,a0,tar
3,0.39561698,0.278,-2.01,tar
3,0.39561698,0.336,-2.47,tar
3,0.39561698,0.392,tar,tar
3,0.39561698,0.416,u0,tar
3,0.39561698,0.512,a1,tar
3,0.39561698,0.556,-1.32,tar
3,0.39561698,0.561,0.886,tar
3,0.39561698,0.625,0.0402,tar
3,0.39561698,0.626,0.00786,tar
3,0.39561698,0.633,tar,tar
3,0.39561698,0.647,tar,tar
3,0.39561698,0.780,0.876,tar
3,0.39561698,0.853,a0,tar
3,0.39561698,0.871,tar,tar
3,0.39561698,0.935,y0,tar
3,0.39561698,1.03,y0,tar
3,0.39561698,1.04,-1.88,tar
3,0.39561698,1.18,y0,tar
3,0.39561698,1.24,-2.45,tar
3,0.39561698,1.32,y1,tar
3,0.39561698,1.62,a1,tar
3,0.39561698,3.56,a1,tar
3,0.39561698,y0,0.0493,tar
3,0.39561698,y0,0.363,tar
3,0.39561698,y0,a1,tar
3,0.39561698,y1,-3.63,tar
3,0.39561698,y1,-1.88,tar
3,0.39561698,y1,-0.540,tar
3,0.39561698,y1,y0,tar
3,0.39561698,y1,tar,tar
3,0.39561698,a0,-0.540,tar
3,0.39561698,a0,-0.0177,tar
3,0.39561698,a0,0.434,tar
3,0.39561698,a0,y0,tar
3,0.39561698,a0,y1,tar
3,0.39561698,a0,a1,tar
3,0.39561698,a1,-0.626,tar
3,0.39561698,a1,-0.516,tar
