Complexity,Fitness,Equation 0,Equation 1,Equation 2
3,1.3188995,y1,0.864,0.0328
3,1.3188995,a0,-0.621,0.0328
5,1.2847868,a0,-0.853*y1,a1
7,0.9558357,-0.0729*e*y0,e,a0
7,0.9558357,-0.0729*e*y0,-2.58,a0
7,0.9558357,-0.0729*e*y0,-2.05,a0
7,0.9558357,-0.0729*e*y0,-1.99,a0
7,0.9558357,-0.0729*e*y0,-1.98,a0
7,0.9558357,-0.0729*e*y0,-1.66,a0
7,0.9558357,-0.0729*e*y0,-1.56,a0
7,0.9558357,-0.0729*e*y0,-1.38,a0
7,0.9558357,-0.0729*e*y0,-1.27,a0
7,0.9558357,-0.0729*e*y0,-1.13,a0
7,0.9558357,-0.0729*e*y0,-0.961,a0
7,0.9558357,-0.0729*e*y0,-0.946,a0
7,0.9558357,-0.0729*e*y0,-0.913,a0
7,0.9558357,-0.0729*e*y0,-0.599,a0
7,0.9558357,-0.0729*e*y0,-0.468,a0
7,0.9558357,-0.0729*e*y0,-0.422,a0
7,0.9558357,-0.0729*e*y0,-0.0831,a0
7,0.9558357,-0.0729*e*y0,-0.0749,a0
7,0.9558357,-0.0729*e*y0,-0.0571,a0
7,0.9558357,-0.0729*e*y0,-0.0319,a0
7,0.9558357,-0.0729*e*y0,-0.00341,a0
7,0.9558357,-0.0729*e*y0,0.0855,a0
7,0.9558357,-0.0729*e*y0,0.115,a0
7,0.9558357,-0.0729*e*y0,0.193,a0
7,0.9558357,-0.0729*e*y0,0.274,a0
7,0.9558357,-0.0729*e*y0,0.338,a0
7,0.9558357,-0.0729*e*y0,0.474,a0
7,0.9558357,-0.0729*e*y0,0.481,a0
7,0.9558357,-0.0729*e*y0,0.504,a0
7,0.9558357,-0.0729*e*y0,0.507,a0
7,0.9558357,-0.0729*e*y0,0.784,a0
7,0.9558357,-0.0729*e*y0,0.834,a0
7,0.9558357,-0.0729*e*y0,0.847,a0
7,0.9558357,-0.0729*e*y0,0.992,a0
7,0.9558357,-0.0729*e*y0,1.25,a0
7,0.9558357,-0.0729*e*y0,1.38,a0
7,0.9558357,-0.0729*e*y0,1.40,a0
7,0.9558357,-0.0729*e*y0,1.84,a0
7,0.9558357,-0.0729*e*y0,1.85,a0
7,0.9558357,-0.0729*e*y0,2.87,a0
7,0.9558357,-0.0729*e*y0,9.81,a0
7,0.9558357,-0.0729*e*y0,y0,a0
7,0.9558357,-0.0729*e*y0,y1,a0
7,0.9558357,-0.0729*e*y0,a0,a0
7,0.9558357,-0.0729*e*y0,a1,a0
7,0.9558357,-0.0729*e*y0,u0,a0
7,0.9558357,-0.0729*e*y0,e,a0
9,0.7902654,a1,-0.341*e*y0,0.067*a0
11,0.5444909,-0.0729*y0*(e - 0.474),0.126,2*a0
11,0.5444909,-0.0729*y0*(e - 0.474),1.29,2*a0
11,0.5444909,-0.0729*y0*(e - 0.474),a0,2*a0
13,0.5347432,-1.78,-e*y0 + y0,0.427*a1*e
13,0.5347432,-0.973,-e*y0 + y0,0.427*a1*e
13,0.5347432,0.446,-e*y0 + y0,0.427*a1*e
13,0.5347432,2.26,-e*y0 + y0,0.427*a1*e
13,0.5347432,y1,-e*y0 + y0,0.427*a1*e
15,0.5022163,2.87,-e*y0 + y0,0.517*a1*e - 0.0369
19,0.48839727,-2.16,-e*y0 + y0 - y1,0.524*a1*e
19,0.48839727,-1.21,-e*y0 + y0 - y1,0.524*a1*e
19,0.48839727,-0.221,-e*y0 + y0 - y1,0.524*a1*e
19,0.48839727,-0.0601,-e*y0 + y0 - y1,0.524*a1*e
19,0.48839727,-0.0384,-e*y0 + y0 - y1,0.524*a1*e
19,0.48839727,0.116,-e*y0 + y0 - y1,0.524*a1*e
19,0.48839727,0.684,-e*y0 + y0 - y1,0.524*a1*e
19,0.48839727,1.35,-e*y0 + y0 - y1,0.524*a1*e
19,0.48839727,1.62,-e*y0 + y0 - y1,0.524*a1*e
19,0.48839727,4.44,-e*y0 + y0 - y1,0.524*a1*e
19,0.48839727,y0,-e*y0 + y0 - y1,0.524*a1*e
19,0.48839727,y1,-e*y0 + y0 - y1,0.524*a1*e
19,0.48839727,a0,-e*y0 + y0 - y1,0.524*a1*e
19,0.48839727,a1,-e*y0 + y0 - y1,0.524*a1*e
19,0.48839727,u0,-e*y0 + y0 - y1,0.524*a1*e
23,0.4612203,1.51,-e*y0 + y0 + y1*(y0 - 0.475),0.524*a1*e
23,0.4612203,y0,-e*y0 + y0 + y1*(y0 - 0.475),0.524*a1*e
23,0.4612203,a1,-e*y0 + y0 + y1*(y0 - 0.475),0.524*a1*e
