Complexity,Fitness,Equation 0,Equation 1,Equation 2
3,1.3188995,-3.03,1.73,0.0328
3,1.3188995,-0.755,a1,0.0328
3,1.3188995,0.312,-0.970,0.0328
3,1.3188995,1.02,-0.456,0.0328
3,1.3188995,1.02,a1,0.0328
3,1.3188995,y0,1.73,0.0328
3,1.3188995,y1,u0,0.0328
3,1.3188995,u0,0.135,0.0328
3,1.3188995,u0,1.58,0.0328
5,1.3188968,-0.000112,1.36/y0,0.0338
7,1.2297013,a0,u0 + y1,-2.73*a1
9,1.1620903,-1.77,1.1/y0,0.00613*a1 + 0.0621
9,1.1620903,-1.16,1.1/y0,0.00613*a1 + 0.0621
9,1.1620903,-0.574,1.1/y0,0.00613*a1 + 0.0621
9,1.1620903,-0.309,1.1/y0,0.00613*a1 + 0.0621
9,1.1620903,-0.287,1.1/y0,0.00613*a1 + 0.0621
9,1.1620903,-0.0129,1.1/y0,0.00613*a1 + 0.0621
9,1.1620903,-0.000337,1.1/y0,0.00613*a1 + 0.0621
9,1.1620903,-0.000112,1.1/y0,0.00613*a1 + 0.0621
9,1.1620903,0.0987,1.1/y0,0.00613*a1 + 0.0621
9,1.1620903,0.144,1.1/y0,0.00613*a1 + 0.0621
9,1.1620903,0.444,1.1/y0,0.00613*a1 + 0.0621
9,1.1620903,0.650,1.1/y0,0.00613*a1 + 0.0621
9,1.1620903,0.685,1.1/y0,0.00613*a1 + 0.0621
9,1.1620903,0.704,1.1/y0,0.00613*a1 + 0.0621
9,1.1620903,0.768,1.1/y0,0.00613*a1 + 0.0621
9,1.1620903,y0,1.1/y0,0.00613*a1 + 0.0621
9,1.1620903,y1,1.1/y0,0.00613*a1 + 0.0621
9,1.1620903,a0,1.1/y0,0.00613*a1 + 0.0621
9,1.1620903,a1,1.1/y0,0.00613*a1 + 0.0621
9,1.1620903,u0,1.1/y0,0.00613*a1 + 0.0621
