Complexity,Fitness,Equation 0,Equation 1,Equation 2
3,0.5393133,-8.03,y1,e
3,0.5393133,-7.52,a1,e
3,0.5393133,-3.94,-1.56,e
3,0.5393133,-3.94,0.0628,e
3,0.5393133,-3.94,y0,e
3,0.5393133,-3.94,a0,e
3,0.5393133,-3.94,a1,e
3,0.5393133,-3.81,-0.749,e
3,0.5393133,-3.81,0.00240,e
3,0.5393133,-3.81,y1,e
3,0.5393133,-3.39,e,e
3,0.5393133,-2.93,-0.341,e
3,0.5393133,-2.62,0.00233,e
3,0.5393133,-2.62,0.254,e
3,0.5393133,-2.62,y1,e
3,0.5393133,-2.33,-0.0830,e
3,0.5393133,-2.33,y1,e
3,0.5393133,-2.00,-0.0373,e
3,0.5393133,-2.00,0.244,e
3,0.5393133,-1.81,y0,e
3,0.5393133,-1.78,a0,e
3,0.5393133,-1.45,1.54,e
3,0.5393133,-1.45,y0,e
3,0.5393133,-1.37,-0.0310,e
3,0.5393133,-1.32,y0,e
3,0.5393133,-1.12,0.190,e
3,0.5393133,-1.03,-0.0203,e
3,0.5393133,-1.03,y1,e
3,0.5393133,-1.02,y0,e
3,0.5393133,-0.940,a1,e
3,0.5393133,-0.934,u0,e
3,0.5393133,-0.930,u0,e
3,0.5393133,-0.905,y1,e
3,0.5393133,-0.824,a1,e
3,0.5393133,-0.639,0.733,e
3,0.5393133,-0.637,a1,e
3,0.5393133,-0.589,0.141,e
3,0.5393133,-0.511,1.29,e
3,0.5393133,-0.487,-0.948,e
3,0.5393133,-0.487,0.631,e
3,0.5393133,-0.453,y1,e
3,0.5393133,-0.426,y1,e
3,0.5393133,-0.425,-1.15,e
3,0.5393133,-0.407,0.0107,e
3,0.5393133,-0.407,y1,e
3,0.5393133,-0.407,a0,e
3,0.5393133,-0.401,y0,e
3,0.5393133,-0.400,-0.0823,e
3,0.5393133,-0.343,y0,e
3,0.5393133,-0.303,y1,e
3,0.5393133,-0.302,-0.595,e
3,0.5393133,-0.271,-0.0203,e
3,0.5393133,-0.266,u0,e
3,0.5393133,-0.241,-0.878,e
3,0.5393133,-0.210,0.338,e
3,0.5393133,-0.187,-0.510,e
3,0.5393133,-0.187,0.407,e
3,0.5393133,-0.187,0.411,e
3,0.5393133,-0.187,y0,e
3,0.5393133,-0.187,y1,e
3,0.5393133,-0.187,a0,e
3,0.5393133,-0.102,-0.0203,e
3,0.5393133,-0.0904,e,e
3,0.5393133,-0.0433,0.423,e
3,0.5393133,-0.0433,u0,e
3,0.5393133,-0.00483,-1.42,e
3,0.5393133,-0.00483,0.0,e
3,0.5393133,-0.00483,0.0183,e
3,0.5393133,-0.00483,0.967,e
3,0.5393133,-0.00483,a1,e
3,0.5393133,-0.00176,a1,e
3,0.5393133,2.33e-5,a0,e
3,0.5393133,0.00302,a0,e
3,0.5393133,0.0245,a0,e
3,0.5393133,0.0374,y1,e
3,0.5393133,0.0397,0.415,e
3,0.5393133,0.0452,-0.0532,e
3,0.5393133,0.0494,-0.0203,e
3,0.5393133,0.0494,0.00704,e
3,0.5393133,0.0494,y0,e
3,0.5393133,0.150,y1,e
3,0.5393133,0.218,y1,e
3,0.5393133,0.278,-0.0203,e
3,0.5393133,0.278,y0,e
3,0.5393133,0.292,2.02,e
3,0.5393133,0.373,0.415,e
3,0.5393133,0.373,1.48,e
3,0.5393133,0.376,a0,e
3,0.5393133,0.394,y0,e
3,0.5393133,0.550,-0.540,e
3,0.5393133,0.550,y0,e
3,0.5393133,0.624,u0,e
3,0.5393133,0.662,y0,e
3,0.5393133,0.662,y1,e
3,0.5393133,0.716,4.01,e
3,0.5393133,0.749,e,e
3,0.5393133,0.821,-0.134,e
3,0.5393133,0.821,-0.0823,e
3,0.5393133,0.895,u0,e
3,0.5393133,1.30,a0,e
3,0.5393133,1.35,a1,e
3,0.5393133,1.37,-0.000272,e
3,0.5393133,1.39,0.155,e
3,0.5393133,1.41,a1,e
3,0.5393133,1.60,-0.0267,e
3,0.5393133,1.62,0.407,e
3,0.5393133,1.72,0.00704,e
3,0.5393133,2.09,-0.215,e
3,0.5393133,2.24,u0,e
3,0.5393133,2.91,0.635,e
3,0.5393133,2.91,4.01,e
3,0.5393133,3.06,-0.527,e
3,0.5393133,4.51,-0.507,e
3,0.5393133,4.51,-0.284,e
3,0.5393133,y0,-1.65,e
3,0.5393133,y0,-1.63,e
3,0.5393133,y0,-1.59,e
3,0.5393133,y0,-1.42,e
