Complexity,Fitness,Equation 0,Equation 1,Equation 2
3,0.6533807,-3.20,-3.26,e
3,0.6533807,-3.20,2.54,e
3,0.6533807,-2.76,2.55,e
3,0.6533807,-2.76,y0,e
3,0.6533807,-1.66,0.973,e
3,0.6533807,-1.66,a1,e
3,0.6533807,-1.55,y0,e
3,0.6533807,-1.07,u0,e
3,0.6533807,-0.995,u0,e
3,0.6533807,-0.937,-0.268,e
3,0.6533807,-0.846,1.73,e
3,0.6533807,-0.811,-0.109,e
3,0.6533807,-0.661,0.739,e
3,0.6533807,-0.649,e,e
3,0.6533807,-0.588,u0,e
3,0.6533807,-0.564,e,e
3,0.6533807,-0.348,-0.999,e
3,0.6533807,-0.306,-1.77,e
3,0.6533807,-0.306,2.57,e
3,0.6533807,-0.287,-2.91,e
3,0.6533807,-0.287,a0,e
3,0.6533807,-0.282,-0.102,e
3,0.6533807,-0.260,0.328,e
3,0.6533807,-0.190,-0.995,e
3,0.6533807,-0.187,a0,e
3,0.6533807,-0.137,-0.999,e
3,0.6533807,-0.0471,-1.47,e
3,0.6533807,-0.0351,0.328,e
3,0.6533807,-0.0351,1.54,e
3,0.6533807,-0.0242,u0,e
3,0.6533807,2.78e-7,u0,e
3,0.6533807,0.000400,-0.921,e
3,0.6533807,0.00671,0.762,e
3,0.6533807,0.0452,-0.0532,e
3,0.6533807,0.0546,-0.484,e
3,0.6533807,0.0664,y1,e
3,0.6533807,0.0664,u0,e
3,0.6533807,0.0743,y1,e
3,0.6533807,0.0849,y1,e
3,0.6533807,0.0951,0.712,e
3,0.6533807,0.159,y0,e
3,0.6533807,0.190,-0.830,e
3,0.6533807,0.279,0.0306,e
3,0.6533807,0.315,0.0884,e
3,0.6533807,0.365,-1.18,e
3,0.6533807,0.367,0.328,e
3,0.6533807,0.406,-1.84,e
3,0.6533807,0.462,u0,e
3,0.6533807,0.583,a1,e
3,0.6533807,0.692,u0,e
3,0.6533807,0.750,y1,e
3,0.6533807,0.750,a1,e
3,0.6533807,0.789,-0.00593,e
3,0.6533807,0.789,u0,e
3,0.6533807,0.854,-3.03,e
3,0.6533807,0.947,a1,e
3,0.6533807,0.957,a1,e
3,0.6533807,0.975,0.328,e
3,0.6533807,0.975,a1,e
3,0.6533807,0.997,5.97,e
3,0.6533807,1.44,0.885,e
3,0.6533807,1.50,a0,e
3,0.6533807,1.67,e,e
3,0.6533807,2.08,u0,e
3,0.6533807,2.24,-0.427,e
3,0.6533807,3.33,-0.625,e
3,0.6533807,3.33,a1,e
3,0.6533807,4.83,0.739,e
3,0.6533807,y0,-1.52,e
3,0.6533807,y0,-1.35,e
3,0.6533807,y0,-0.528,e
3,0.6533807,y0,-0.254,e
3,0.6533807,y0,-0.218,e
3,0.6533807,y0,-0.102,e
3,0.6533807,y0,0.363,e
3,0.6533807,y0,0.973,e
3,0.6533807,y0,1.15,e
3,0.6533807,y0,y0,e
3,0.6533807,y0,y1,e
3,0.6533807,y0,a0,e
3,0.6533807,y0,a1,e
3,0.6533807,y0,u0,e
3,0.6533807,y1,-1.62,e
3,0.6533807,y1,-0.657,e
3,0.6533807,y1,-0.510,e
3,0.6533807,y1,-0.483,e
3,0.6533807,y1,-0.157,e
3,0.6533807,y1,0.254,e
3,0.6533807,y1,y0,e
3,0.6533807,y1,a0,e
3,0.6533807,y1,a1,e
3,0.6533807,a0,-1.89,e
3,0.6533807,a0,-1.84,e
3,0.6533807,a0,-0.568,e
3,0.6533807,a0,-0.142,e
3,0.6533807,a0,0.328,e
3,0.6533807,a0,0.899,e
3,0.6533807,a0,3.39,e
3,0.6533807,a0,4.23,e
3,0.6533807,a0,y1,e
3,0.6533807,a0,a1,e
3,0.6533807,a0,e,e
3,0.6533807,a1,-2.91,e
3,0.6533807,a1,0.0317,e
3,0.6533807,a1,0.328,e
3,0.6533807,a1,1.71,e
3,0.6533807,a1,a1,e
3,0.6533807,u0,-1.84,e
3,0.6533807,u0,-0.520,e
3,0.6533807,u0,-0.224,e
3,0.6533807,u0,1.62,e
3,0.6533807,u0,4.85,e
3,0.6533807,u0,a0,e
3,0.6533807,u0,a1,e
3,0.6533807,e,-0.510,e
3,0.6533807,e,-0.193,e
3,0.6533807,e,-0.102,e
3,0.6533807,e,-0.0948,e
3,0.6533807,e,1.19,e
3,0.6533807,e,2.57,e
3,0.6533807,e,y0,e
3,0.6533807,e,y1,e
3,0.6533807,e,a0,e
3,0.6533807,e,a1,e
3,0.6533807,e,u0,e
5,0.6071907,0.444,y1,a1 + e
5,0.6071907,u0,y1,a1 + e
5,0.6071907,e,y1,a1 + e
7,0.057870973,-a0 + y0,0.253,a0 + e
11,0.04890617,e,a0 - a1 - y1 - 0.259,a1 + e
13,0.041515656,2*e,a0 - a1 - y1 - 0.259,a1 + e
17,0.04125919,2*e,a0 - a1 - y1 - 0.259,0.782*a1 + e
