Complexity,Fitness,Equation 0,Equation 1,Equation 2
3,3.984189,a0,-0.0851,0.0784
3,3.984189,a0,a1,0.0784
5,3.217771,y0,-2.46,0.0659*a0
7,2.8499134,-3.64,-2.0*u0 - 2.0*y1,a1
7,2.8499134,y1,-2.0*u0 - 2.0*y1,a1
7,2.8499134,u0,-2.0*u0 - 2.0*y1,a1
9,2.8451717,-3.64,-4.0*u0 - 2.0*y1,a1
9,2.8451717,-0.599,-4.0*u0 - 2.0*y1,a1
9,2.8451717,0.0,-4.0*u0 - 2.0*y1,a1
9,2.8451717,0.0920,-4.0*u0 - 2.0*y1,a1
9,2.8451717,0.0920,-4.0*u0 - 2.0*y1,a1
9,2.8451717,0.0920,-4.0*u0 - 2.0*y1,a1
9,2.8451717,0.366,-4.0*u0 - 2.0*y1,a1
9,2.8451717,0.630,-4.0*u0 - 2.0*y1,a1
9,2.8451717,0.748,-2.0*a1 - 2.0*u0 - 2.0*y1,a1
9,2.8451717,1.10,-4.0*u0 - 2.0*y1,a1
9,2.8451717,12.3,-4.0*u0 - 2.0*y1,a1
9,2.8451717,y0,-4.0*u0 - 2.0*y1,a1
9,2.8451717,y0,-4.0*u0 - 2.0*y1,a1
9,2.8451717,y1,-4.0*u0 - 2.0*y1,a1
9,2.8451717,y1,-4.0*u0 - 2.0*y1,a1
9,2.8451717,a0,-4.0*u0 - 2.0*y1,a1
9,2.8451717,a0,-4.0*u0 - 2.0*y1,a1
9,2.8451717,a1,-4.0*u0 - 2.0*y1,a1
9,2.8451717,u0,-4.0*u0 - 2.0*y1,a1
9,2.8451717,u0,-4.0*u0 - 2.0*y1,a1
11,2.8286252,-0.599,-1.23*u0*y1 - 1.23*u0 - 1.23*y1,a1
11,2.8286252,0.0880,-1.23*u0*y1 - 1.23*u0 - 1.23*y1,a1
11,2.8286252,0.0920,-1.23*u0*y1 - 1.23*u0 - 1.23*y1,a1
11,2.8286252,0.713,-1.23*u0*y1 - 1.23*u0 - 1.23*y1,a1
11,2.8286252,1.09,-1.23*u0*y1 - 1.23*u0 - 1.23*y1,a1
11,2.8286252,10.3,-1.23*u0*y1 - 1.23*u0 - 1.23*y1,a1
11,2.8286252,y0,-1.23*u0*y1 - 1.23*u0 - 1.23*y1,a1
11,2.8286252,a1,-1.23*u0*y1 - 1.23*u0 - 1.23*y1,a1
13,2.8214834,-2.48,-1.23*u0*y1 - 2.23*u0 - 1.23*y1,a1
13,2.8214834,-2.41,-1.23*u0*y1 - 2.23*u0 - 1.23*y1,a1
13,2.8214834,-1.61,-1.23*u0*y1 - 2.23*u0 - 1.23*y1,a1
13,2.8214834,-1.15,-1.23*u0*y1 - 2.23*u0 - 1.23*y1,a1
13,2.8214834,-0.381,-1.23*u0*y1 - 2.23*u0 - 1.23*y1,a1
13,2.8214834,-0.290,-1.23*u0*y1 - 2.23*u0 - 1.23*y1,a1
13,2.8214834,-0.231,-1.23*u0*y1 - 2.23*u0 - 1.23*y1,a1
13,2.8214834,0.00955,-1.23*u0*y1 - 2.23*u0 - 1.23*y1,a1
13,2.8214834,0.291,-1.23*u0*y1 - 2.23*u0 - 1.23*y1,a1
13,2.8214834,0.713,-1.23*u0*y1 - 2.23*u0 - 1.23*y1,a1
13,2.8214834,1.18,-1.23*u0*y1 - 2.23*u0 - 1.23*y1,a1
13,2.8214834,8.04,-1.23*u0*y1 - 2.23*u0 - 1.23*y1,a1
13,2.8214834,8.75,-1.23*u0*y1 - 2.23*u0 - 1.23*y1,a1
13,2.8214834,11.3,-1.23*u0*y1 - 2.23*u0 - 1.23*y1,a1
13,2.8214834,43.5,-1.23*u0*y1 - 2.23*u0 - 1.23*y1,a1
13,2.8214834,y1,-1.23*u0*y1 - 2.23*u0 - 1.23*y1,a1
13,2.8214834,a0,-1.23*u0*y1 - 2.23*u0 - 1.23*y1,a1
13,2.8214834,u0,-1.23*u0*y1 - 2.23*u0 - 1.23*y1,a1
15,2.8157444,u0*(u0 + 2*y1) + u0 + y1,-0.134,-1.97*a0
21,2.8012595,u0*(u0 + y1)*(u0 + y1 + 0.233) + y1,-0.498,-1.97*a0 - 0.31
23,2.5050893,0.84*a1 + u0 + y1 - 0.0316,0.138*y0*y1,-1.97*a0 + a1 - 0.818
25,2.4847128,0.84*a1 + u0 + y1 - 0.0316,0.138*y0*y1,-1.97*a0 - 1.97*a1 - 0.617
