Complexity,Fitness,Equation 0,Equation 1,Equation 2
3,3.4607024,-0.805,y0,e
3,3.4607024,-0.696,0.409,e
3,3.4607024,-0.608,y0,e
3,3.4607024,-0.608,a1,e
3,3.4607024,-0.267,-1.22,e
3,3.4607024,0.00634,-0.310,e
3,3.4607024,0.0452,-0.0532,e
3,3.4607024,0.241,2.70,e
3,3.4607024,2.04,-0.232,e
3,3.4607024,y0,-1.15,e
3,3.4607024,y0,0.363,e
3,3.4607024,a0,a1,e
3,3.4607024,a0,u0,e
3,3.4607024,a1,u0,e
3,3.4607024,u0,0.768,e
3,3.4607024,u0,y0,e
5,2.8434587,0.0946,-1.17,0.414*e
7,0.21423441,-1.38,-a1 + y0,a1 + e
7,0.21423441,-1.38,-a1 + y0,a1 + e
7,0.21423441,-1.37,-a1 + y0,a1 + e
7,0.21423441,-1.18,-a1 + y0,a1 + e
7,0.21423441,-0.702,-a1 + y0,a1 + e
7,0.21423441,-0.627,-a1 + y0,a1 + e
7,0.21423441,-0.493,-a1 + y0,a1 + e
7,0.21423441,-0.493,-a1 + y0,a1 + e
7,0.21423441,0.0473,-a1 + y0,a1 + e
7,0.21423441,0.322,-a1 + y0,a1 + e
7,0.21423441,0.712,-a1 + y0,a1 + e
7,0.21423441,y0,-a1 + y0,a1 + e
7,0.21423441,a0,-a1 + y0,a1 + e
7,0.21423441,a1,-a1 + y0,a1 + e
7,0.21423441,u0,-a1 + y0,a1 + e
9,0.18264736,-1.22,-a1 + y0,a1 + 0.783*e
9,0.18264736,-1.18,-a1 + y0,a1 + 0.783*e
9,0.18264736,-0.608,-a1 + y0,a1 + 0.783*e
9,0.18264736,-0.493,-a1 + y0,a1 + 0.783*e
9,0.18264736,-0.0334,-a1 + y0,a1 + 0.783*e
9,0.18264736,0.0,-a1 + y0,a1 + 0.783*e
9,0.18264736,0.0473,-a1 + y0,a1 + 0.783*e
9,0.18264736,1.95,-a1 + y0,a1 + 0.783*e
9,0.18264736,1.98,-a1 + y0,a1 + 0.783*e
9,0.18264736,u0,-a1 + y0,a1 + 0.783*e
9,0.18264736,e,-a1 + y0,a1 + 0.783*e
11,0.17480755,-1.66,-a1 - u0 + 2*y0,a1 + e
11,0.17480755,-1.38,-a1 - u0 + 2*y0,a1 + e
11,0.17480755,-1.38,-a1 - u0 + 2*y0,a1 + e
11,0.17480755,-1.25,-a1 - u0 + 2*y0,a1 + e
11,0.17480755,-0.863,-a1 - u0 + 2*y0,a1 + e
11,0.17480755,-0.702,-a1 - u0 + 2*y0,a1 + e
11,0.17480755,-0.627,-a1 - u0 + 2*y0,a1 + e
11,0.17480755,-0.624,-a1 - u0 + 2*y0,a1 + e
11,0.17480755,-0.520,-a1 - u0 + 2*y0,a1 + e
11,0.17480755,-0.496,-a1 - u0 + 2*y0,a1 + e
11,0.17480755,-0.493,-a1 - u0 + 2*y0,a1 + e
11,0.17480755,-0.413,-a1 - u0 + 2*y0,a1 + e
11,0.17480755,-0.388,-a1 - u0 + 2*y0,a1 + e
11,0.17480755,-0.0961,-a1 - u0 + 2*y0,a1 + e
11,0.17480755,-0.0217,-a1 - u0 + 2*y0,a1 + e
11,0.17480755,0.311,-a1 - u0 + 2*y0,a1 + e
11,0.17480755,0.394,-a1 - u0 + 2*y0,a1 + e
11,0.17480755,0.532,-a1 - u0 + 2*y0,a1 + e
11,0.17480755,0.709,-a1 - u0 + 2*y0,a1 + e
11,0.17480755,0.712,-a1 - u0 + 2*y0,a1 + e
11,0.17480755,0.933,-a1 - u0 + 2*y0,a1 + e
11,0.17480755,0.995,-a1 - u0 + 2*y0,a1 + e
11,0.17480755,2.59,-a1 - u0 + 2*y0,a1 + e
11,0.17480755,2.68,-a1 - u0 + 2*y0,a1 + e
11,0.17480755,y0,-a1 - u0 + 2*y0,a1 + e
11,0.17480755,y1,-a1 - u0 + 2*y0,a1 + e
11,0.17480755,a0,-a1 - u0 + 2*y0,a1 + e
11,0.17480755,a1,-a1 - u0 + 2*y0,a1 + e
15,0.15353578,-1.77*e + 1.77*u0 - 1.77*y0 + y1,-0.106,-2*a0 + e
15,0.15353578,-1.77*e + 1.77*u0 - 1.77*y0 + y1,1.04,-2*a0 + e
15,0.15353578,-1.77*e + 1.77*u0 - 1.77*y0 + y1,a1,-2*a0 + e
17,0.15102357,-1.77*e + 1.77*u0 - 1.77*y0 + y1,-1.17,-2*a0 + 0.783*e
17,0.15102357,-1.77*e + 1.77*u0 - 1.77*y0 + y1,-0.418,-2*a0 + 0.783*e
17,0.15102357,-1.77*e + 1.77*u0 - 1.77*y0 + y1,-0.0199,-2*a0 + 0.783*e
17,0.15102357,-1.77*e + 1.77*u0 - 1.77*y0 + y1,0.411,-2*a0 + 0.783*e
17,0.15102357,-1.77*e + 1.77*u0 - 1.77*y0 + y1,0.902,-2*a0 + 0.783*e
17,0.15102357,-1.77*e + 1.77*u0 - 1.77*y0 + y1,0.932,-2*a0 + 0.783*e
17,0.15102357,-1.77*e + 1.77*u0 - 1.77*y0 + y1,1.52,-2*a0 + 0.783*e
17,0.15102357,-1.77*e + 1.77*u0 - 1.77*y0 + y1,a1,-2*a0 + 0.783*e
